排名,名称,评分,别称,评价人数,简语
1,肖申克的救赎,9.6,月黑高飞(港),1099706,希望让人自由。
2,霸王别姬,9.5,再见，我的妾,802935,风华绝代。
3,这个杀手不太冷,9.4,杀手莱昂,1021236,怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传,9.4,福雷斯特·冈普,870601,一部美国近现代史。
5,美丽人生,9.5,一个快乐的传说(港),508625,最美的谎言。
6,泰坦尼克号,9.3,铁达尼号(港,809921,失去的才是永恒的。 
7,千与千寻,9.3,神隐少女(台),810586,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,9.4,舒特拉的名单(港),460672,拯救一个人，就是拯救整个世界。
9,盗梦空间,9.3,潜行凶间(港),899953,诺兰给了我们一场无法盗取的梦。
10,机器人总动员,9.3,瓦力(台),592458,小瓦力，大人生。
11,三傻大闹宝莱坞,9.2,三个傻瓜(台),808653,英俊版憨豆，高情商版谢耳朵。
12,忠犬八公的故事,9.3,忠犬小八(台),569152,永远都不能忘记你所爱的人。
13,海上钢琴师,9.2,声光伴我飞(港),684966,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,放牛班的春天,9.2,歌声伴我心(港),547110,天籁一般的童声，是最接近上帝的存在。 
15,大话西游之大圣娶亲,9.2,西游记完结篇仙履奇缘,600690,一生所爱。
16,楚门的世界,9.1,真人Show(港),575748,如果再也不能见到你，祝你早安，午安，晚安。
17,教父,9.2,MarioPuzo'sTheGodfather,407459,千万不要记恨你的对手，这样会让你失去理智。
18,龙猫,9.1,邻居托托罗,501335,人人心中都有个龙猫，童年就永远不会消失。
19,星际穿越,9.2,星际启示录(港),598997,爱是一种力量，让我们超越时空感知它的存在。
20,熔炉,9.2,无声呐喊(港),332721,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,触不可及,9.2,闪亮人生(港),438673,满满温情的高雅喜剧。
22,无间道,9.1,InfernalAffairs,488892,香港电影史上永不过时的杰作。
23,乱世佳人,9.2,飘,314173,Tomorrow is another day.
24,当幸福来敲门,8.9,寻找快乐的故事(港),644681,平民励志片。 
25,怦然心动,8.9,萌动青春,684141,真正的幸福是来自内心深处。
26,天堂电影院,9.1,星光伴我心(港),350147,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
27,十二怒汉,9.4,12怒汉,200790,1957年的理想主义。 
28,鬼子来了,9.2,DevilsontheDoorstep,278885,对敌人的仁慈，就是对自己残忍。
29,蝙蝠侠：黑暗骑士,9.1,蝙蝠侠前传2：黑暗骑士,394868,无尽的黑暗。
30,疯狂动物城,9.1,优兽大都会(港),637376,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
31,少年派的奇幻漂流,9.0,少年Pi的奇幻漂流,673608,瑰丽壮观、无人能及的冒险之旅。
32,活着,9.1,人生,328020,张艺谋最好的电影。
33,搏击俱乐部,9.0,搏击会(港),449225,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
34,指环王3：王者无敌,9.1,TenkvnoshiroRapyuta,331233,史诗的终章。
35,天空之城,9.0,TenkûnoshiroRapyuta,388728,对天空的追逐，永不停止。 
36,大话西游之月光宝盒,8.9,西游记101回月光宝盒,483566,旷古烁今。
37,飞屋环游记,8.9,冲天救兵(港),586328,最后那些最无聊的事情，才是最值得怀念的。 
